"DownstreamTerm","UpstreamTerm","pValue"
"morphogenesis","morphogenesis",0.000189969159518396
"morphogenesis","auxin",1.35469514892052e-18
"morphogenesis","spliceosome",2.20018372208403e-05
"morphogenesis","abscisic acid",0.129345241612722
"morphogenesis","cold",1.04073926722186e-07
"morphogenesis","heat",5.31069569211832e-29
"morphogenesis","nitrogen",5.62294000713166e-10
"morphogenesis","chlorophyll",3.62803697827588e-29
"morphogenesis","chromatin",0.0276181045272971
"morphogenesis","kinase",6.04086677049224e-05
"morphogenesis","cytoskeleton",2.40157611506222e-12
"morphogenesis","ribosome",2.15536065263734e-20
"morphogenesis","endocytosis",3.93892953644532e-37
"morphogenesis","ethylene",2.47448389558657e-28
"morphogenesis","metal ion",0.363098103123901
"morphogenesis","senescence",0.0025291386242338
"morphogenesis","ubiquitin",0.0105551666253377
"morphogenesis","vesicle",1.03059523952501e-40
"morphogenesis","water",3.71784455365274e-10
"morphogenesis","trichome",8.03960161514579e-05
"anthocyanin","morphogenesis",0.338725630488536
"anthocyanin","auxin",0.339202700773427
"anthocyanin","spliceosome",0.312013759039429
"anthocyanin","abscisic acid",0.684660986161086
"anthocyanin","cold",0.29378869817435
"anthocyanin","heat",0.122734761735874
"anthocyanin","nitrogen",0.127263087438372
"anthocyanin","chlorophyll",0.0305282702127646
"anthocyanin","chromatin",0.441085057443479
"anthocyanin","kinase",0.486057762817208
"anthocyanin","cytoskeleton",1
"anthocyanin","ribosome",0.0715452444018354
"anthocyanin","endocytosis",0.0154488649754737
"anthocyanin","ethylene",0.143686609500135
"anthocyanin","metal ion",1
"anthocyanin","senescence",1
"anthocyanin","ubiquitin",0.35415323318524
"anthocyanin","vesicle",0.0584246628075861
"anthocyanin","water",0.25436203922816
"anthocyanin","trichome",1
"auxin","morphogenesis",0.0011510945837862
"auxin","auxin",1.46271629785144e-12
"auxin","spliceosome",0.00805648284061522
"auxin","abscisic acid",0.406023050572663
"auxin","cold",0.000257538198886199
"auxin","heat",5.12951789557189e-15
"auxin","nitrogen",3.7586517246882e-09
"auxin","chlorophyll",1.74282736287007e-15
"auxin","chromatin",0.0897532936248936
"auxin","kinase",0.00462962151330475
"auxin","cytoskeleton",7.09047619253919e-05
"auxin","ribosome",2.09300132244718e-10
"auxin","endocytosis",1.89527416189773e-22
"auxin","ethylene",1.56573847821499e-18
"auxin","metal ion",0.262859982855501
"auxin","senescence",0.000266220107509872
"auxin","ubiquitin",0.0239622761881411
"auxin","vesicle",1.13011797654247e-16
"auxin","water",1.56666431383904e-06
"auxin","trichome",0.000104117933510259
"brassinosteroid","morphogenesis",0.363098103123901
"brassinosteroid","auxin",0.000193392117155564
"brassinosteroid","spliceosome",0.0997785202273021
"brassinosteroid","abscisic acid",0.673615902652023
"brassinosteroid","cold",0.171788651864404
"brassinosteroid","heat",0.00708072751175026
"brassinosteroid","nitrogen",9.87360913891479e-05
"brassinosteroid","chlorophyll",9.11333209773332e-05
"brassinosteroid","chromatin",0.328542080080166
"brassinosteroid","kinase",0.0409881034307649
"brassinosteroid","cytoskeleton",0.05500238776263
"brassinosteroid","ribosome",0.00264424221371474
"brassinosteroid","endocytosis",5.37428549477901e-06
"brassinosteroid","ethylene",7.37738192496461e-07
"brassinosteroid","metal ion",0.0332839200461265
"brassinosteroid","senescence",0.116100191451889
"brassinosteroid","ubiquitin",0.119484451740149
"brassinosteroid","vesicle",2.28407662000291e-06
"brassinosteroid","water",0.0324995218549813
"brassinosteroid","trichome",0.555278811389296
"calcium","morphogenesis",0.00516074743370504
"calcium","auxin",6.77040316274246e-08
"calcium","spliceosome",0.253778349713279
"calcium","abscisic acid",0.514948013123285
"calcium","cold",5.53969812467692e-05
"calcium","heat",3.34991263325129e-06
"calcium","nitrogen",3.29895957143066e-06
"calcium","chlorophyll",2.08256672209168e-13
"calcium","chromatin",0.71095468022871
"calcium","kinase",0.0021418737273338
"calcium","cytoskeleton",0.00197154996040617
"calcium","ribosome",2.69778715272107e-08
"calcium","endocytosis",2.41927354671223e-14
"calcium","ethylene",6.5368367536974e-11
"calcium","metal ion",0.26692958935652
"calcium","senescence",0.0477886247280634
"calcium","ubiquitin",0.109740045373166
"calcium","vesicle",1.84772431807413e-14
"calcium","water",0.0142027783296878
"calcium","trichome",0.321858244459231
"carbohydrate","morphogenesis",0.0146577572627751
"carbohydrate","auxin",8.05134073666809e-11
"carbohydrate","spliceosome",0.311986795197912
"carbohydrate","abscisic acid",0.152864965423837
"carbohydrate","cold",6.67221818801804e-05
"carbohydrate","heat",2.23815708936719e-11
"carbohydrate","nitrogen",9.43303876086496e-06
"carbohydrate","chlorophyll",2.00991959233703e-12
"carbohydrate","chromatin",0.730656812244108
"carbohydrate","kinase",0.000426195937750463
"carbohydrate","cytoskeleton",3.27589769229222e-06
"carbohydrate","ribosome",3.27850595609033e-08
"carbohydrate","endocytosis",1.88641912649009e-16
"carbohydrate","ethylene",5.62969106197737e-16
"carbohydrate","metal ion",0.0799899937880432
"carbohydrate","senescence",0.00389784264164902
"carbohydrate","ubiquitin",0.0661424367007482
"carbohydrate","vesicle",5.71343713022305e-17
"carbohydrate","water",7.36250053111604e-06
"carbohydrate","trichome",0.0602080121135251
"spliceosome","morphogenesis",0.0865068622053914
"spliceosome","auxin",3.58795019057302e-06
"spliceosome","spliceosome",0.249490411891699
"spliceosome","abscisic acid",0.308252954330211
"spliceosome","cold",0.00542713416438209
"spliceosome","heat",4.40484711968366e-06
"spliceosome","nitrogen",0.00321451570008683
"spliceosome","chlorophyll",4.83484933414459e-08
"spliceosome","chromatin",0.599873402195918
"spliceosome","kinase",0.0380767728106638
"spliceosome","cytoskeleton",0.00245986150941119
"spliceosome","ribosome",1.61441782191433e-05
"spliceosome","endocytosis",2.93932637282943e-08
"spliceosome","ethylene",4.97203847779295e-06
"spliceosome","metal ion",0.912048113398312
"spliceosome","senescence",0.012636665396611
"spliceosome","ubiquitin",0.446926686743543
"spliceosome","vesicle",1.99780122281534e-08
"spliceosome","water",0.00434886799734426
"spliceosome","trichome",0.309001655316721
"cell growth","morphogenesis",9.15748688383629e-05
"cell growth","auxin",4.44263727999783e-12
"cell growth","spliceosome",0.0490572433176493
"cell growth","abscisic acid",0.159127397194829
