"regulatoryGene","targetGene","weight"
"AT5G49450","AT1G68620",0.492750343641437
"AT5G49450","AT3G15500",0.435740364358515
"AT3G24140","AT4G05010",0.356787482518051
"AT3G24140","AT2G39810",0.2655055654174
"AT5G49450","AT5G04340",0.259309154225686
"AT5G49450","AT1G05340",0.253747002542707
"AT1G05710","AT1G71200",0.252805375920922
"AT3G24140","AT1G27660",0.238607410373974
"AT2G24260","AT2G21640",0.200877892149819
"AT1G27660","AT3G24140",0.18934345245365
"AT5G49450","AT2G22470",0.177096656706599
"AT3G24140","AT1G10610",0.171060163101748
"AT5G49450","AT3G19580",0.163392034781601
"AT5G49450","AT1G07590",0.161605215268011
"AT3G24140","AT4G03420",0.154165676179113
"AT5G49450","AT3G02140",0.153469679144364
"AT3G24140","AT4G24480",0.152505443199595
"AT5G49450","AT1G79520",0.143470317476164
"AT2G27230","AT1G45201",0.142714484692341
"AT5G49450","AT3G23920",0.142189957597792
"AT5G49450","AT3G02150",0.136310111490059
"AT3G24140","AT3G58640",0.132142745200413
"AT3G23210","AT1G73120",0.131996164483983
"AT5G49450","AT1G22400",0.1302023366481
"AT5G49450","AT2G45170",0.125921577647198
"AT2G40620","AT3G11110",0.124327813206755
"AT4G35040","AT3G11110",0.122727645800461
"AT5G49450","AT4G38060",0.121930693608684
"AT1G32150","AT2G21640",0.117200591188953
"AT4G00480","AT3G28220",0.114681959401686
"AT4G14410","AT1G71200",0.111882351691673
"AT4G36060","AT2G28780",0.110621168147792
"AT5G08130","AT3G24140",0.109446984140777
"AT3G24140","AT1G27670",0.109327168294021
"AT1G51070","AT1G71200",0.1076936868092
"AT5G49450","AT4G25670",0.10730897826538
"AT5G49450","AT1G68440",0.10379613455797
"AT5G38860","AT1G71200",0.10317705449923
"AT2G27230","AT2G21640",0.100518651640232
"AT3G06590","AT3G45730",0.0978850229361569
"AT4G36930","AT1G71200",0.0978500171751857
"AT3G26744","AT1G56170",0.0971311794225485
"AT3G24140","AT5G08130",0.0969854165973457
"AT3G24140","AT2G21660",0.0962815995323164
"AT5G51790","AT2G42940",0.0960377135191476
"AT1G10610","AT3G24140",0.0958399206534982
"AT5G49450","AT3G47340",0.0950530263505755
"AT3G06590","AT4G36890",0.0946794104286442
