"","aging","morphogenesis","anthocyanin","auxin","brassinosteroid","calcium","carbohydrate","spliceosome","cell growth","cell death","redox","abscisic acid","cold","heat","jasmonic acid","nitrogen","salt stress","oxidative stress","salicylic acid","chlorophyll","chromatin","kinase","cytoskeleton","ribosome","defense","endoreduplication","DNA methylation","endocytosis","endomembrane","ethylene","gibberellin","leaf vascular","lipid","lysosome","metal ion","nucleosome","pectin","phloem","photoperiodism","photosynthesis","phototropism","pigment","senescence","ubiquitin","secretion","light","circadian","cell cycle","vesicle","water","sulfur","translation","trichome"
"aging",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"morphogenesis",1,0.000189969159518396,1,1.35469514892052e-18,0.999838240391072,0.999999998094848,1,2.20018372208403e-05,0.999990635699626,1,1,0.129345241612722,1.04073926722186e-07,5.31069569211832e-29,1,5.62294000713166e-10,0.993170134961794,0.999996029547859,0.999999999168983,3.62803697827588e-29,0.0276181045272971,6.04086677049224e-05,2.40157611506222e-12,2.15536065263734e-20,1,1,1,3.93892953644532e-37,1,2.47448389558657e-28,0.999614927700111,1,1,1,0.363098103123901,1,1,1,0.999999442965581,1,1,1,0.0025291386242338,0.0105551666253377,1,0.891684975861046,1,0.998113032816013,1.03059523952501e-40,3.71784455365274e-10,1,1,8.03960161514579e-05
"anthocyanin",1,0.338725630488536,1,0.339202700773427,1,1,1,0.312013759039429,1,1,1,0.684660986161086,0.29378869817435,0.122734761735874,1,0.127263087438372,1,1,1,0.0305282702127646,0.441085057443479,0.486057762817208,1,0.0715452444018354,1,1,1,0.0154488649754737,1,0.143686609500135,1,1,0.943148112502939,1,1,1,1,1,1,1,1,1,1,0.35415323318524,1,0.755273523721919,1,0.536409264247973,0.0584246628075861,0.25436203922816,1,1,1
"auxin",1,0.0011510945837862,1,1.46271629785144e-12,0.996499783856358,0.99996979111069,0.999999998846488,0.00805648284061522,0.996309363924327,1,1,0.406023050572663,0.000257538198886199,5.12951789557189e-15,1,3.7586517246882e-09,0.978839337549758,0.999960518809509,0.999993048643935,1.74282736287007e-15,0.0897532936248936,0.00462962151330475,7.09047619253919e-05,2.09300132244718e-10,0.999999999926398,1,1,1.89527416189773e-22,1,1.56573847821499e-18,0.997584143572768,1,0.999999088981147,0.910201529823686,0.262859982855501,1,1,1,0.999783127200671,0.994041683912138,1,1,0.000266220107509872,0.0239622761881411,1,0.828544332492313,1,0.957884980179596,1.13011797654247e-16,1.56666431383904e-06,1,0.999999999999955,0.000104117933510259
"brassinosteroid",1,0.363098103123901,1,0.000193392117155564,1,1,1,0.0997785202273021,0.996063183585424,1,1,0.673615902652023,0.171788651864404,0.00708072751175026,1,9.87360913891479e-05,0.996499783856358,0.998980113189935,1,9.11333209773332e-05,0.328542080080166,0.0409881034307649,0.05500238776263,0.00264424221371474,0.999644852417112,1,1,5.37428549477901e-06,1,7.37738192496461e-07,1,1,0.929427896949751,1,0.0332839200461265,1,1,1,1,1,1,1,0.116100191451889,0.119484451740149,1,0.841061495544511,1,0.875096312600636,2.28407662000291e-06,0.0324995218549813,1,0.998980113189935,0.555278811389296
"calcium",1,0.00516074743370504,1,6.77040316274246e-08,1,0.980757912569277,1,0.253778349713279,0.999870718823692,1,1,0.514948013123285,5.53969812467692e-05,3.34991263325129e-06,1,3.29895957143066e-06,0.999876054458466,0.999303644658596,0.999991162758075,2.08256672209168e-13,0.71095468022871,0.0021418737273338,0.00197154996040617,2.69778715272107e-08,0.999617997092506,1,1,2.41927354671223e-14,1,6.5368367536974e-11,1,1,0.999967535628011,1,0.26692958935652,1,1,1,1,1,1,1,0.0477886247280634,0.109740045373166,1,0.774905446727328,1,0.993846993987658,1.84772431807413e-14,0.0142027783296878,1,1,0.321858244459231
"carbohydrate",1,0.0146577572627751,1,8.05134073666809e-11,1,0.999714274181558,0.999999589883506,0.311986795197912,0.999813811283403,1,1,0.152864965423837,6.67221818801804e-05,2.23815708936719e-11,1,9.43303876086496e-06,0.966557078056788,0.999994603636479,0.999906894497987,2.00991959233703e-12,0.730656812244108,0.000426195937750463,3.27589769229222e-06,3.27850595609033e-08,0.999999994821279,1,1,1.88641912649009e-16,1,5.62969106197737e-16,0.989653951672446,1,0.999999983998123,1,0.0799899937880432,1,1,1,1,1,1,1,0.00389784264164902,0.0661424367007482,1,0.793399714842162,1,0.986774613874402,5.71343713022305e-17,7.36250053111604e-06,1,1,0.0602080121135251
"spliceosome",1,0.0865068622053914,1,3.58795019057302e-06,0.698234563042436,0.98241035965783,1,0.249490411891699,0.995944527347263,1,1,0.308252954330211,0.00542713416438209,4.40484711968366e-06,1,0.00321451570008683,0.983251117131362,0.995960796384988,1,4.83484933414459e-08,0.599873402195918,0.0380767728106638,0.00245986150941119,1.61441782191433e-05,0.999922949771429,1,1,2.93932637282943e-08,1,4.97203847779295e-06,1,1,0.999996740630556,1,0.912048113398312,1,1,1,1,1,1,1,0.012636665396611,0.446926686743543,1,0.844271066028513,1,0.688809382821678,1.99780122281534e-08,0.00434886799734426,1,1,0.309001655316721
"cell growth",1,9.15748688383629e-05,1,4.44263727999783e-12,0.996063183585424,0.997633221095281,0.999999992766622,0.0490572433176493,0.990352845752323,1,1,0.159127397194829,0.00021307622415569,6.53997113336499e-13,1,3.00150562754412e-08,0.974626126639456,0.999995873570801,0.999957452266779,1.81193314930245e-15,0.415567009243252,0.000463244777956279,4.03319162210577e-05,1.89785516523378e-09,0.999999987147282,1,1,2.97072043438487e-17,1,1.04171028945943e-13,1,1,0.999999909861126,1,0.195101255938987,1,1,1,1,1,1,1,6.67349603442339e-05,0.0294840092813871,1,0.919569105392709,1,0.951321378855349,3.47893243945907e-20,4.4006706260885e-06,1,0.999999999633617,0.00132320688137733
"cell death",1,0.125100829427864,1,4.3885428994925e-07,1,0.98241035965783,1,0.0219036744293458,0.995944527347263,1,1,0.469798398558771,0.00254040486966848,1.69035047741465e-08,0.999990787704671,0.000456211561707868,0.958885610622141,0.913245550770938,0.998562995906388,4.83484933414459e-08,0.159119274306234,0.0380767728106638,0.153080248153807,6.29594159355136e-05,0.999174674976392,1,1,0.000362879496518057,1,1.3925269853908e-06,1,1,0.999987388114865,1,0.227757434206271,1,1,1,1,1,1,1,0.00201091907517183,0.0643605070736976,1,0.72036982416706,1,0.99217064011814,7.29758211393993e-05,0.0014568700531975,1,0.999927909567429,0.309001655316721
